name,env,policy_input_type,base_video,output_video,perturbation_name,perturbation_type,perturbation_level,success_rate,notes
pickcube_online_baseline,PickCube-v1,state,C:\Users\MSI-NB\Downloads\Second_State_Diffusion_Policy_backups\output_pickcube_state_final\checkpoints\policy_best.pt,C:\Users\MSI-NB\Downloads\Second_State_Diffusion_Policy_backups\output_pickcube_analysis\videos\success_seed_0_pickcube_none.mp4,none,none,none,70.0,Formal online baseline evaluation for task 4.
pickcube_online_lighting_low,PickCube-v1,state,C:\Users\MSI-NB\Downloads\Second_State_Diffusion_Policy_backups\output_pickcube_state_final\checkpoints\policy_best.pt,C:\Users\MSI-NB\Downloads\Second_State_Diffusion_Policy_backups\output_pickcube_analysis\videos\success_seed_0_pickcube_pickcube_lighting_low.mp4,pickcube_lighting_low,lighting,low,80.0,Formal online lighting preview for task 4. State policy input is unchanged.
pickcube_online_camera_shift_01,PickCube-v1,state,C:\Users\MSI-NB\Downloads\Second_State_Diffusion_Policy_backups\output_pickcube_state_final\checkpoints\policy_best.pt,C:\Users\MSI-NB\Downloads\Second_State_Diffusion_Policy_backups\output_pickcube_analysis\videos\success_seed_0_pickcube_pickcube_camera_shift_01.mp4,pickcube_camera_shift_01,camera,medium,80.0,Formal online camera preview for task 4. State policy input is unchanged.
pickcube_online_background_color_01,PickCube-v1,state,C:\Users\MSI-NB\Downloads\Second_State_Diffusion_Policy_backups\output_pickcube_state_final\checkpoints\policy_best.pt,C:\Users\MSI-NB\Downloads\Second_State_Diffusion_Policy_backups\output_pickcube_analysis\videos\success_seed_0_pickcube_pickcube_background_color_01.mp4,pickcube_background_color_01,background,low,80.0,Formal online background-color preview for task 4. State policy input is unchanged.
peg_online_baseline_preview,PegInsertionSide-v1,state,C:\Users\MSI-NB\Downloads\Second_State_Diffusion_Policy_backups\output_peg_state_motionplanning_resume\checkpoints\policy_best.pt,C:\Users\MSI-NB\Downloads\Second_State_Diffusion_Policy_backups\output_peg_analysis\videos\success_seed_9_peginsertionside_none.mp4,none,none,none,30.0,Peg preview only. Baseline is not stably converged.
peg_online_lighting_low_preview,PegInsertionSide-v1,state,C:\Users\MSI-NB\Downloads\Second_State_Diffusion_Policy_backups\output_peg_state_motionplanning_resume\checkpoints\policy_best.pt,C:\Users\MSI-NB\Downloads\Second_State_Diffusion_Policy_backups\output_peg_analysis\videos\success_seed_9_peginsertionside_peg_lighting_low_preview.mp4,peg_lighting_low_preview,lighting,low,43.333333333333336,Peg preview only. Render-only perturbation does not demonstrate visual robustness.
