name,action_dim,count,mean,std,max_abs,sat_ratio_abs_ge_0.99,tail50_mean_abs,tail50_max_abs,success,steps,reward
pickcube_online_baseline,0,69,-0.032398827373981476,0.051393795758485794,0.14743390679359436,0.0,0.049434155225753784,0.14743390679359436,True,69,21.372000366449356
pickcube_online_baseline,1,69,-0.04241731017827988,0.3079926371574402,0.6921236515045166,0.0,0.24985258281230927,0.6921236515045166,True,69,21.372000366449356
pickcube_online_baseline,2,69,0.010516063310205936,0.03092654049396515,0.09037423133850098,0.0,0.013570662587881088,0.033295001834630966,True,69,21.372000366449356
pickcube_online_baseline,3,69,0.06490051001310349,0.1411345899105072,0.3992631137371063,0.0,0.11892758309841156,0.3992631137371063,True,69,21.372000366449356
pickcube_online_baseline,4,69,-0.017952756956219673,0.06811092048883438,0.17345526814460754,0.0,0.029576044529676437,0.08250997215509415,True,69,21.372000366449356
pickcube_online_baseline,5,69,-0.11201711744070053,0.3985532224178314,0.9242778420448303,0.0,0.3294050097465515,0.9242778420448303,True,69,21.372000366449356
pickcube_online_baseline,6,69,-0.12919355928897858,0.1454821676015854,0.5068889260292053,0.0,0.06824443489313126,0.2031354010105133,True,69,21.372000366449356
pickcube_online_baseline,7,69,0.022005736827850342,0.9389503598213196,1.0,0.37681159420289856,0.9159731864929199,1.0,True,69,21.372000366449356
pickcube_online_lighting_low,0,69,-0.032398827373981476,0.051393795758485794,0.14743390679359436,0.0,0.049434155225753784,0.14743390679359436,True,69,21.372000366449356
pickcube_online_lighting_low,1,69,-0.04241731017827988,0.3079926371574402,0.6921236515045166,0.0,0.24985258281230927,0.6921236515045166,True,69,21.372000366449356
pickcube_online_lighting_low,2,69,0.010516063310205936,0.03092654049396515,0.09037423133850098,0.0,0.013570662587881088,0.033295001834630966,True,69,21.372000366449356
pickcube_online_lighting_low,3,69,0.06490051001310349,0.1411345899105072,0.3992631137371063,0.0,0.11892758309841156,0.3992631137371063,True,69,21.372000366449356
pickcube_online_lighting_low,4,69,-0.017952756956219673,0.06811092048883438,0.17345526814460754,0.0,0.029576044529676437,0.08250997215509415,True,69,21.372000366449356
pickcube_online_lighting_low,5,69,-0.11201711744070053,0.3985532224178314,0.9242778420448303,0.0,0.3294050097465515,0.9242778420448303,True,69,21.372000366449356
pickcube_online_lighting_low,6,69,-0.12919355928897858,0.1454821676015854,0.5068889260292053,0.0,0.06824443489313126,0.2031354010105133,True,69,21.372000366449356
pickcube_online_lighting_low,7,69,0.022005736827850342,0.9389503598213196,1.0,0.37681159420289856,0.9159731864929199,1.0,True,69,21.372000366449356
pickcube_online_camera_shift_01,0,69,-0.032398827373981476,0.051393795758485794,0.14743390679359436,0.0,0.049434155225753784,0.14743390679359436,True,69,21.372000366449356
pickcube_online_camera_shift_01,1,69,-0.04241731017827988,0.3079926371574402,0.6921236515045166,0.0,0.24985258281230927,0.6921236515045166,True,69,21.372000366449356
pickcube_online_camera_shift_01,2,69,0.010516063310205936,0.03092654049396515,0.09037423133850098,0.0,0.013570662587881088,0.033295001834630966,True,69,21.372000366449356
pickcube_online_camera_shift_01,3,69,0.06490051001310349,0.1411345899105072,0.3992631137371063,0.0,0.11892758309841156,0.3992631137371063,True,69,21.372000366449356
pickcube_online_camera_shift_01,4,69,-0.017952756956219673,0.06811092048883438,0.17345526814460754,0.0,0.029576044529676437,0.08250997215509415,True,69,21.372000366449356
pickcube_online_camera_shift_01,5,69,-0.11201711744070053,0.3985532224178314,0.9242778420448303,0.0,0.3294050097465515,0.9242778420448303,True,69,21.372000366449356
pickcube_online_camera_shift_01,6,69,-0.12919355928897858,0.1454821676015854,0.5068889260292053,0.0,0.06824443489313126,0.2031354010105133,True,69,21.372000366449356
pickcube_online_camera_shift_01,7,69,0.022005736827850342,0.9389503598213196,1.0,0.37681159420289856,0.9159731864929199,1.0,True,69,21.372000366449356
